order,family,life_history,aquatic_life_stage_habitat,common_name,Tim_and_Danielle_difference,sources,Tim_notes,Danielle_notes,,,,,,,,,,,
Entomobryomorpha,Entomobryidae,terrestrial,,Slender Springtails,,https://www-sciencedirect-com.proxy.library.cornell.edu/topics/agricultural-and-biological-sciences/entomobryidae,,,,,,,,,,,,,
Ephemeroptera,Ephemerellidae,aquatic,,Spiny crawler mayflies,,https://bugguide.net/node/view/13696; https://en.wikipedia.org/wiki/Ephemerellidae,aquatic,"The wikipedia source says that these are ""semi-aquatic""Ébut aren't mayfly larvae fully aquatic?",,,,,,,,,,,
Ephemeroptera,Ephemeridae,aquatic,,Common burrower mayflies,,https://bugguide.net/node/view/13468,,,,,,,,,,,,,
Diptera,Ephydridae,both,"Ephydridae greek etymology ""epi:upon + hydor:water = living upon the water""",Shore flies,,https://bugguide.net/node/view/9357,"Variable, agree with ""both""",,,,,,,,,,,,
Coleoptera,Eucnemidae,terrestrial,,False Click beetles,,https://bugguide.net/node/view/63946,,,,,,,,,,,,,
Mesostigmata,Eviphididae,terrestrial,,Eviphidid mites,"Danielle says terrestrial, Tim says unknown. Going with terrestrial.",https://en.wikipedia.org/wiki/Eviphididae,,,,,,,,,,,,,
Diptera,Fanniidae,both,,Fly (decomposer),"Danielle says both, Tim says terrestrial. Going with both.",https://bugguide.net/node/view/100523,,Larvae are aquatic to terrestrial; adult female attracted to decaying organic matter. Indicators useful in forensic ento.,,,,,,,,,,,
Hymenoptera,Figitidae,terrestrial,,Parasitoid wasps,,https://en.wikipedia.org/wiki/Figitidae,"At least one species is a parasitoid of a shore fly that mines duckweed, so…. Eh? That's probably rare, though.",,,,,,,,,,,,
Hymenoptera,Formicidae,terrestrial,,Ants,,https://bugguide.net/node/view/165,,,,,,,,,,,,,
Lepidoptera,Gelechiidae,terrestrial,,Twirler moths,,https://bugguide.net/node/view/7747,,,,,,,,,,,,,
Lepidoptera,Geometridae,terrestrial,,Geometrid moths,,https://bugguide.net/node/view/188,,,,,,,,,,,,,
Hemiptera,Gerridae,aquatic,,Water striders,,https://en.wikipedia.org/wiki/Gerridae,,,,,,,,,,,,,
Trichoptera,Glossosomatidae,aquatic,,Saddle case-maker caddisflies,,https://bugguide.net/node/view/295484,,,,,,,,,,,,,
